Pincode,active,
146111,0,"146111,"
146112,0,"146112,"
146113,0,"146113,"
146114,0,"146114,"
146115,0,"146115,"
146116,0,"146116,"
147001,0,"147001,"
147002,0,"147002,"
147003,0,"147003,"
147004,0,"147004,"
147005,0,"147005,"
147006,0,"147006,"
147007,0,"147007,"
147021,0,"147021,"
147101,0,"147101,"
147102,0,"147102,"
147103,0,"147103,"
147104,0,"147104,"
147105,0,"147105,"
147111,0,"147111,"
147201,0,"147201,"
147202,0,"147202,"
147203,0,"147203,"
147301,0,"147301,"
148001,0,"148001,"
148002,0,"148002,"
148017,0,"148017,"
148018,0,"148018,"
148019,0,"148019,"
148020,0,"148020,"
148021,0,"148021,"
148022,0,"148022,"
148023,0,"148023,"
148024,0,"148024,"
148025,0,"148025,"
148026,0,"148026,"
148027,0,"148027,"
148028,0,"148028,"
148029,0,"148029,"
148030,0,"148030,"
148031,0,"148031,"
148033,0,"148033,"
148034,0,"148034,"
148035,0,"148035,"
148100,0,"148100,"
148101,0,"148101,"
148102,0,"148102,"
148103,0,"148103,"
148104,0,"148104,"
148105,0,"148105,"
148106,0,"148106,"
148107,0,"148107,"
148108,0,"148108,"
148109,0,"148109,"
151001,0,"151001,"
151002,0,"151002,"
151003,0,"151003,"
151004,0,"151004,"
151005,0,"151005,"
151101,0,"151101,"
151102,0,"151102,"
151103,0,"151103,"
151104,0,"151104,"
151105,0,"151105,"
151106,0,"151106,"
151108,0,"151108,"
151111,0,"151111,"
151201,0,"151201,"
151202,0,"151202,"
151203,0,"151203,"
151204,0,"151204,"
151205,0,"151205,"
151206,0,"151206,"
151207,0,"151207,"
151208,0,"151208,"
151209,0,"151209,"
151210,0,"151210,"
151211,0,"151211,"
151212,0,"151212,"
151213,0,"151213,"
151301,0,"151301,"
151302,0,"151302,"
151401,0,"151401,"
151501,0,"151501,"
151502,0,"151502,"
151503,0,"151503,"
151504,0,"151504,"
151505,0,"151505,"
151506,0,"151506,"
151507,0,"151507,"
151508,0,"151508,"
151509,0,"151509,"
151510,0,"151510,"
152001,0,"152001,"
152002,0,"152002,"
152003,0,"152003,"
152004,0,"152004,"
152005,0,"152005,"
152020,0,"152020,"
152021,0,"152021,"
152022,0,"152022,"
152023,0,"152023,"
152024,0,"152024,"
152025,0,"152025,"
152026,0,"152026,"
152028,0,"152028,"
152031,0,"152031,"
152032,0,"152032,"
152033,0,"152033,"
152101,0,"152101,"
152107,0,"152107,"
152112,0,"152112,"
152113,0,"152113,"
152114,0,"152114,"
152115,0,"152115,"
152116,0,"152116,"
152117,0,"152117,"
152118,0,"152118,"
152121,0,"152121,"
152122,0,"152122,"
152123,0,"152123,"
152124,0,"152124,"
152128,0,"152128,"
152132,0,"152132,"
160001,0,"160001,"
160002,0,"160002,"
160003,0,"160003,"
160004,0,"160004,"
160005,0,"160005,"
160009,0,"160009,"
160011,0,"160011,"
160012,0,"160012,"
160014,0,"160014,"
